velocidad_bala,distancia,salto
-11.0,717.0,0
-11.0,706.0,0
-11.0,695.0,0
-11.0,684.0,0
-11.0,673.0,0
-11.0,662.0,0
-11.0,651.0,0
-11.0,640.0,0
-11.0,629.0,0
-11.0,618.0,0
-11.0,607.0,0
-11.0,596.0,0
-11.0,585.0,0
-11.0,574.0,0
-11.0,563.0,0
-11.0,552.0,0
-11.0,541.0,0
-11.0,530.0,0
-11.0,519.0,0
-11.0,508.0,0
-11.0,497.0,0
-11.0,486.0,0
-11.0,475.0,0
-11.0,464.0,0
-11.0,453.0,0
-11.0,442.0,0
-11.0,431.0,0
-11.0,420.0,0
-11.0,409.0,0
-11.0,398.0,0
-11.0,387.0,0
-11.0,376.0,0
-11.0,365.0,0
-11.0,354.0,0
-11.0,343.0,0
-11.0,332.0,0
-11.0,321.0,0
-11.0,310.0,0
-11.0,299.0,0
-11.0,288.0,0
-11.0,277.0,0
-11.0,266.0,0
-11.0,255.0,0
-11.0,244.0,0
-11.0,233.0,0
-11.0,222.0,0
-11.0,211.0,0
-11.0,200.0,0
-11.0,189.0,0
-11.0,178.0,1
-11.0,167.0,1
-11.0,156.0,1
-11.0,145.0,1
-11.0,134.0,1
-11.0,123.0,1
-11.0,112.0,1
-11.0,101.0,1
-11.0,90.0,1
-11.0,79.0,1
-11.0,68.0,1
-11.0,57.0,1
-11.0,46.0,1
-11.0,35.0,1
-11.0,24.0,1
-11.0,13.0,1
-11.0,2.0,1
-11.0,9.0,1
-11.0,20.0,1
-11.0,31.0,1
-11.0,42.0,1
-11.0,53.0,1
-11.0,64.0,1
-8.0,962.0,1
-8.0,954.0,1
-8.0,946.0,1
-8.0,938.0,1
-8.0,930.0,1
-8.0,922.0,1
-8.0,914.0,1
-8.0,906.0,1
-8.0,898.0,0
-8.0,890.0,0
-8.0,882.0,0
-8.0,874.0,0
-8.0,866.0,0
-8.0,858.0,0
-8.0,850.0,0
-8.0,842.0,0
-8.0,834.0,0
